model,time,fractional_length,pair_fraction
ca,0.0,0,0
ca,1.0,0,0
ca,2.0,0,0
ca,3.0,0,0
ca,4.0,0,0
ca,5.0,0,0
ca,6.0,0,0
ca,7.0,0,0
ca,8.0,0,0
ca,9.0,0,0
ca,10.0,0.461133,0.461133
ca,11.0,0.386034,0.386034
ca,12.0,0.368906,0.368906
ca,13.0,0.342556,0.342556
ca,14.0,0.338603,0.338603
ca,15.0,0.328063,0.328063
ca,16.0,0.306069,0.306069
ca,17.0,0.302111,0.302111
ca,18.0,0.302111,0.302111
ca,19.0,0.30343,0.30343
ca,20.0,0.300792,0.300792
ca,21.0,0.300792,0.300792
ca,22.0,0.302111,0.302111
ca,23.0,0.293651,0.293651
ca,24.0,0.303311,0.303311
ca,25.0,0.301987,0.301987
ca,26.0,0.300662,0.300662
ca,27.0,0.280795,0.280795
ca,28.0,0.276821,0.276821
ca,29.0,0.272487,0.272487
ca,30.0,0.277411,0.277411
ca,31.0,0.26288,0.26288
ca,32.0,0.269485,0.269485
ca,33.0,0.27609,0.27609
ca,34.0,0.294584,0.294584
ca,35.0,0.274769,0.274769
ca,36.0,0.264201,0.264201
ca,37.0,0.264201,0.264201
ca,38.0,0.263576,0.263576
ca,39.0,0.27321,0.27321
ca,40.0,0.27321,0.27321
ca,41.0,0.269231,0.269231
ca,42.0,0.286853,0.286853
ca,43.0,0.2749,0.2749
ca,44.0,0.286853,0.286853
ca,45.0,0.282869,0.282869
ca,46.0,0.266932,0.266932
ca,47.0,0.266932,0.266932
ca,48.0,0.26162,0.26162
ca,49.0,0.270916,0.270916
ca,50.0,0.280212,0.280212
ca,51.0,0.265957,0.265957
ca,52.0,0.259309,0.259309
ca,53.0,0.264628,0.264628
ca,54.0,0.246011,0.246011
ca,55.0,0.261968,0.261968
ca,56.0,0.269947,0.269947
ca,57.0,0.268617,0.268617
ca,58.0,0.263298,0.263298
ca,59.0,0.250996,0.250996
ca,60.0,0.262948,0.262948
ca,61.0,0.258964,0.258964
ca,62.0,0.249668,0.249668
ca,63.0,0.250996,0.250996
ca,64.0,0.240372,0.240372
ca,65.0,0.247012,0.247012
ca,66.0,0.244356,0.244356
ca,67.0,0.242021,0.242021
ca,68.0,0.235372,0.235372
ca,69.0,0.227696,0.227696
ca,70.0,0.242667,0.242667
ca,71.0,0.251001,0.251001
ca,72.0,0.242991,0.242991
ca,73.0,0.255348,0.255348
ca,74.0,0.245661,0.245661
ca,75.0,0.245989,0.245989
ca,76.0,0.251337,0.251337
ca,77.0,0.256684,0.256684
ca,78.0,0.243316,0.243316
ca,79.0,0.245989,0.245989
ca,80.0,0.246338,0.246338
ca,81.0,0.238667,0.238667
ca,82.0,0.254667,0.254667
ca,83.0,0.248,0.248
ca,84.0,0.231691,0.231691
ca,85.0,0.231691,0.231691
ca,86.0,0.238349,0.238349
ca,87.0,0.23036,0.23036
ca,88.0,0.227696,0.227696
ca,89.0,0.230053,0.230053
ca,90.0,0.232713,0.232713
ca,91.0,0.242021,0.242021
ca,92.0,0.243351,0.243351
ca,93.0,0.25,0.25
ca,94.0,0.246011,0.246011
ca,95.0,0.24867,0.24867
ca,96.0,0.246011,0.246011
ca,97.0,0.258322,0.258322
ca,98.0,0.256991,0.256991
ca,99.0,0.24734,0.24734
ca,100.0,0.233732,0.233732
ca,101.0,0.240372,0.240372
ca,102.0,0.241012,0.241012
ca,103.0,0.243028,0.243028
ca,104.0,0.234354,0.234354
ca,105.0,0.22861,0.22861
ca,106.0,0.235294,0.235294
ca,107.0,0.220588,0.220588
ca,108.0,0.225333,0.225333
ca,109.0,0.214096,0.214096
ca,110.0,0.231383,0.231383
cp,0.0,0,0
cp,1.0,0,0
cp,2.0,0,0
cp,3.0,0,0
cp,4.0,0,0
cp,5.0,0,0
cp,6.0,0,0
cp,7.0,0,0
cp,8.0,0,0
cp,9.0,0,0
cp,10.0,0.523759,0.517489
cp,11.0,0.334501,0.402372
cp,12.0,0.287185,0.34392
cp,13.0,0.265778,0.319419
cp,14.0,0.253127,0.303877
cp,15.0,0.234785,0.289973
cp,16.0,0.22337,0.263446
cp,17.0,0.208785,0.254299
cp,18.0,0.195359,0.241128
cp,19.0,0.189853,0.234647
cp,20.0,0.175147,0.222323
cp,21.0,0.169592,0.212785
cp,22.0,0.16469,0.209024
cp,23.0,0.158523,0.20018
cp,24.0,0.154717,0.193962
cp,25.0,0.15074,0.203083
cp,26.0,0.149933,0.192518
cp,27.0,0.14717,0.192377
cp,28.0,0.14755,0.185857
cp,29.0,0.144391,0.177318
cp,30.0,0.141441,0.176685
cp,31.0,0.144481,0.179745
cp,32.0,0.14124,0.175248
cp,33.0,0.142741,0.178928
cp,34.0,0.137265,0.184116
cp,35.0,0.139149,0.172973
cp,36.0,0.134332,0.169811
cp,37.0,0.132585,0.169065
cp,38.0,0.127728,0.162557
cp,39.0,0.128841,0.157466
cp,40.0,0.126993,0.160072
cp,41.0,0.125934,0.153358
cp,42.0,0.125201,0.160795
cp,43.0,0.124493,0.157703
cp,44.0,0.121535,0.149499
cp,45.0,0.121977,0.153915
cp,46.0,0.118997,0.147541
cp,47.0,0.117997,0.147675
cp,48.0,0.115716,0.141037
cp,49.0,0.111378,0.141947
cp,50.0,0.114425,0.145438
cp,51.0,0.113258,0.144809
cp,52.0,0.111558,0.142857
cp,53.0,0.112034,0.142077
cp,54.0,0.112608,0.140653
cp,55.0,0.110577,0.142332
cp,56.0,0.111022,0.139241
cp,57.0,0.109209,0.137774
cp,58.0,0.107561,0.141818
cp,59.0,0.109825,0.141294
cp,60.0,0.110106,0.141049
cp,61.0,0.108411,0.138989
cp,62.0,0.109884,0.13706
cp,63.0,0.108209,0.134913
cp,64.0,0.108847,0.137774
cp,65.0,0.107095,0.133454
cp,66.0,0.108195,0.142339
cp,67.0,0.105348,0.136488
cp,68.0,0.105658,0.136617
cp,69.0,0.106048,0.132727
cp,70.0,0.107411,0.13418
cp,71.0,0.10549,0.132784
cp,72.0,0.104334,0.135949
cp,73.0,0.104893,0.132848
cp,74.0,0.103791,0.134668
cp,75.0,0.10546,0.132007
cp,76.0,0.104015,0.130672
cp,77.0,0.102345,0.139619
cp,78.0,0.103329,0.135455
cp,79.0,0.106566,0.127971
cp,80.0,0.104217,0.136116
cp,81.0,0.104015,0.134068
cp,82.0,0.101849,0.128623
cp,83.0,0.103495,0.131579
cp,84.0,0.103126,0.128532
cp,85.0,0.102358,0.134058
cp,86.0,0.102675,0.130952
cp,87.0,0.101804,0.126354
cp,88.0,0.104093,0.136073
cp,89.0,0.102276,0.132007
cp,90.0,0.102276,0.135257
cp,91.0,0.100972,0.129091
cp,92.0,0.100781,0.125798
cp,93.0,0.099521,0.134234
cp,94.0,0.099839,0.127486
cp,95.0,0.0977564,0.128159
cp,96.0,0.0982906,0.126364
cp,97.0,0.0983431,0.130435
cp,98.0,0.101759,0.129799
cp,99.0,0.0980868,0.127306
cp,100.0,0.0989189,0.122263
cp,101.0,0.0985091,0.126594
cp,102.0,0.0980132,0.127371
cp,103.0,0.096947,0.130118
cp,104.0,0.095468,0.119526
cp,105.0,0.096947,0.129918
cp,106.0,0.097166,0.127406
cp,107.0,0.095931,0.1233
cp,108.0,0.096444,0.123626
cp,109.0,0.095931,0.128532
cp,110.0,0.0971812,0.128532
os,0.0,0,0
os,1.0,0,0
os,2.0,0,0
os,3.0,0,0
os,4.0,0,0
os,5.0,0,0
os,6.0,0,0
os,7.0,0,0
os,8.0,0,0
os,9.0,0,0
os,10.0,0.480458,0.484405
os,11.0,0.435051,0.437722
os,12.0,0.422628,0.419072
os,13.0,0.40763,0.410486
os,14.0,0.374481,0.378729
os,15.0,0.323279,0.334232
os,16.0,0.27544,0.289655
os,17.0,0.256022,0.267394
os,18.0,0.212319,0.242547
os,19.0,0.202666,0.218359
os,20.0,0.161686,0.185087
os,21.0,0.151491,0.174931
os,22.0,0.141756,0.160414
os,23.0,0.135069,0.161333
os,24.0,0.131687,0.154762
os,25.0,0.107238,0.134034
os,26.0,0.10179,0.123698
os,27.0,0.0862309,0.112418
os,28.0,0.0864018,0.111675
os,29.0,0.0966052,0.11809
os,30.0,0.0755411,0.101377
os,31.0,0.0779815,0.0998767
os,32.0,0.0840976,0.111383
os,33.0,0.0766016,0.103491
os,34.0,0.064688,0.0865747
os,35.0,0.0587393,0.0783582
os,36.0,0.0792746,0.10285
os,37.0,0.0774146,0.0947109
os,38.0,0.0610676,0.0873908
os,39.0,0.0880485,0.102469
os,40.0,0.078593,0.10688
os,41.0,0.067357,0.0839506
os,42.0,0.0674097,0.0868486
os,43.0,0.0528823,0.0686642
os,44.0,0.0665979,0.0819876
os,45.0,0.0702641,0.0889988
os,46.0,0.0587612,0.0727729
os,47.0,0.0646271,0.0808824
os,48.0,0.06488,0.0837379
os,49.0,0.0664865,0.0838396
os,50.0,0.0433221,0.0552826
os,51.0,0.0486195,0.0631188
os,52.0,0.0433967,0.059952
os,53.0,0.0458181,0.0651106
os,54.0,0.0474257,0.0682635
os,55.0,0.052643,0.0695444
os,56.0,0.0538481,0.0699638
os,57.0,0.0421611,0.0588942
os,58.0,0.0500183,0.070133
os,59.0,0.0463932,0.0632458
os,60.0,0.0452278,0.0649819
os,61.0,0.0455685,0.0612745
os,62.0,0.0477562,0.0692124
os,63.0,0.052012,0.0699052
os,64.0,0.0522702,0.0689655
os,65.0,0.0420836,0.0563725
os,66.0,0.0528417,0.0671463
os,67.0,0.0469134,0.0687646
os,68.0,0.0480222,0.0622837
os,69.0,0.0427651,0.0585424
os,70.0,0.0433836,0.0632458
os,71.0,0.0462796,0.0609013
os,72.0,0.0447735,0.0602837
os,73.0,0.0491405,0.0632458
os,74.0,0.0457739,0.0538922
os,75.0,0.049889,0.0613718
os,76.0,0.0435487,0.0535077
os,77.0,0.0443693,0.0571081
os,78.0,0.0457163,0.0598802
os,79.0,0.0418227,0.0518697
os,80.0,0.0416159,0.0539273
os,81.0,0.0424467,0.057715
os,82.0,0.0399999,0.0571762
os,83.0,0.0391684,0.0538278
os,84.0,0.0422554,0.0550351
os,85.0,0.0418951,0.057623
os,86.0,0.0415948,0.0593714
os,87.0,0.0406294,0.0529483
os,88.0,0.037533,0.0542169
os,89.0,0.044441,0.0550996
os,90.0,0.0438973,0.0664294
os,91.0,0.0436303,0.0564706
os,92.0,0.0420037,0.0579882
os,93.0,0.0361985,0.0477897
os,94.0,0.0489516,0.0622754
os,95.0,0.0350016,0.0448485
os,96.0,0.038364,0.0496454
os,97.0,0.0444229,0.0543735
os,98.0,0.0365554,0.0519952
os,99.0,0.0403143,0.0531915
os,100.0,0.0432755,0.0627219
os,101.0,0.0386706,0.0521212
os,102.0,0.0363096,0.0483491
os,103.0,0.0395127,0.0516206
os,104.0,0.0415356,0.0522565
os,105.0,0.0280439,0.0378698
os,106.0,0.042935,0.0524476
os,107.0,0.0382873,0.0518257
os,108.0,0.0397731,0.052506
os,109.0,0.0326264,0.0453988
os,110.0,0.0389261,0.05549
vt,0.0,0,0
vt,1.0,0,0
vt,2.0,0,0
vt,3.0,0,0
vt,4.0,0,0
vt,5.0,0,0
vt,6.0,0,0
vt,7.0,0,0
vt,8.0,0,0
vt,9.0,0,0
vt,10.0,0.485091,0.484389
vt,11.0,0.469636,0.484389
vt,12.0,0.469299,0.484389
vt,13.0,0.467315,0.484389
vt,14.0,0.466295,0.484389
